number,latitude,longitude,meters
5771,53.84186761238918,27.62953206853126,193.661
5781,53.84188343784427,27.629746645252453,193.918
5791,53.84186761238918,27.629902213375317,194.149
5801,53.842067012686385,27.62984856919502,193.688
5811,53.84212714909755,27.63007387475227,193.921
5821,53.84207017776281,27.630250900547253,194.270
5831,53.84195939994551,27.630213349621044,194.372
5841,53.842298062636715,27.63128086880897,195.951
5851,53.842317052986914,27.63103946999763,195.404
5861,53.84232021804443,27.6307819779322,194.813
5871,53.84232021804443,27.63055667237495,194.358
5881,53.84230439275442,27.630261629383313,193.950
5891,53.842339208384544,27.629998772899853,193.513
5901,53.84229489757754,27.62983247594093,193.338
5911,53.842253751786174,27.62956961945747,193.018
5921,53.84215246966591,27.629473059932934,193.018
5931,53.84233604332845,27.629161923687207,192.409
5941,53.842260081910545,27.629027813236462,192.526
5951,53.842269577095315,27.629226296703564,192.511
5961,53.842038526987764,27.62936577157234,193.032
5971,53.842092333291106,27.62955889062141,193.236
5981,53.8423075578129,27.628233879368054,192.193
5991,53.84227907227794,27.62805148915504,192.126
6001,53.84224109153452,27.627863734524,192.109
6011,53.84236452882466,27.627708166401135,191.760
6021,53.84230439275442,27.62754186944221,191.935
6031,53.84227907227794,27.62732729272102,191.993
6041,53.84239934440479,27.627193182270275,191.643
6051,53.84240883955798,27.62682840184425,191.102
6061,53.842323383101714,27.626672833721386,191.131
6071,53.842424664808526,27.6265494521067,190.665
6081,53.84236136377048,27.6263509686396,190.205
6091,53.842345538496,27.62608274773811,189.213
6101,53.842374023985734,27.625937908451306,188.600
6111,53.842418334709,27.625717967312085,187.528
